# step  time_ps  T_K  Epot_eV  Ekin_eV  Etot_eV  step_s
    8100    4.0500    56.33   -3009.5940     1.5729   -3008.0211   0.127
    8150    4.0750    52.74   -3009.5181     1.4725   -3008.0455   0.127
    8200    4.1000    57.37   -3009.6497     1.6018   -3008.0478   0.127
    8250    4.1250    50.88   -3009.5000     1.4207   -3008.0793   0.127
    8300    4.1500    53.11   -3009.5923     1.4828   -3008.1095   0.127
    8350    4.1750    51.92   -3009.6094     1.4497   -3008.1597   0.127
    8400    4.2000    50.51   -3009.5820     1.4104   -3008.1717   0.128
    8450    4.2250    52.43   -3009.6465     1.4639   -3008.1826   0.127
    8500    4.2500    51.31   -3009.6838     1.4325   -3008.2513   0.127
    8550    4.2750    52.56   -3009.7898     1.4675   -3008.3223   0.127
    8600    4.3000    51.02   -3009.7324     1.4246   -3008.3079   0.127
    8650    4.3250    47.47   -3009.5464     1.3253   -3008.2210   0.127
    8700    4.3500    52.07   -3009.5908     1.4537   -3008.1371   0.127
    8750    4.3750    50.38   -3009.5300     1.4065   -3008.1235   0.127
    8800    4.4000    49.29   -3009.6082     1.3760   -3008.2321   0.127
    8850    4.4250    55.19   -3009.6663     1.5410   -3008.1253   0.127
    8900    4.4500    49.36   -3009.6428     1.3780   -3008.2648   0.127
    8950    4.4750    52.12   -3009.6172     1.4552   -3008.1619   0.127
    9000    4.5000    52.81   -3009.5933     1.4745   -3008.1188   0.127
    9050    4.5250    50.47   -3009.6270     1.4092   -3008.2177   0.127
    9100    4.5500    49.72   -3009.7034     1.3882   -3008.3152   0.127
    9150    4.5750    47.91   -3009.7085     1.3378   -3008.3707   0.127
    9200    4.6000    49.05   -3009.7881     1.3696   -3008.4185   0.127
    9250    4.6250    46.79   -3009.7061     1.3064   -3008.3996   0.127
    9300    4.6500    46.92   -3009.6689     1.3099   -3008.3590   0.127
    9350    4.6750    48.08   -3009.6777     1.3423   -3008.3354   0.127
    9400    4.7000    46.70   -3009.6851     1.3037   -3008.3813   0.127
    9450    4.7250    48.35   -3009.7056     1.3499   -3008.3557   0.127
    9500    4.7500    49.76   -3009.7544     1.3894   -3008.3650   0.127
    9550    4.7750    52.71   -3009.7153     1.4716   -3008.2437   0.127
    9600    4.8000    48.57   -3009.5127     1.3562   -3008.1565   0.127
    9650    4.8250    49.87   -3009.6533     1.3923   -3008.2610   0.128
    9700    4.8500    49.68   -3009.6260     1.3871   -3008.2389   0.127
    9750    4.8750    50.74   -3009.6973     1.4166   -3008.2807   0.127
    9800    4.9000    50.98   -3009.6973     1.4234   -3008.2738   0.127
    9850    4.9250    46.51   -3009.5771     1.2986   -3008.2785   0.127
    9900    4.9500    49.27   -3009.6387     1.3757   -3008.2630   0.128
    9950    4.9750    47.79   -3009.6309     1.3344   -3008.2965   0.128
   10000    5.0000    49.71   -3009.6953     1.3879   -3008.3074   0.128
   10050    5.0250    50.57   -3009.7754     1.4119   -3008.3635   0.127
   10100    5.0500    48.39   -3009.6697     1.3510   -3008.3187   0.127
   10150    5.0750    48.26   -3009.7437     1.3476   -3008.3961   0.128
   10200    5.1000    50.17   -3009.8062     1.4007   -3008.4055   0.127
   10250    5.1250    45.79   -3009.6870     1.2786   -3008.4084   0.127
   10300    5.1500    46.47   -3009.7368     1.2974   -3008.4394   0.127
   10350    5.1750    47.49   -3009.7737     1.3259   -3008.4477   0.127
   10400    5.2000    48.76   -3009.6433     1.3614   -3008.2819   0.127
   10450    5.2250    46.53   -3009.5901     1.2992   -3008.2909   0.127
   10500    5.2500    54.84   -3009.7334     1.5311   -3008.2023   0.127
   10550    5.2750    47.58   -3009.4888     1.3285   -3008.1602   0.127
   10600    5.3000    51.25   -3009.5615     1.4310   -3008.1305   0.127
   10650    5.3250    49.17   -3009.5610     1.3729   -3008.1881   0.127
   10700    5.3500    50.83   -3009.6504     1.4192   -3008.2312   0.127
   10750    5.3750    49.31   -3009.6904     1.3769   -3008.3136   0.127
   10800    5.4000    50.97   -3009.6677     1.4231   -3008.2446   0.127
   10850    5.4250    49.85   -3009.7080     1.3919   -3008.3161   0.127
   10900    5.4500    46.71   -3009.5652     1.3040   -3008.2611   0.127
   10950    5.4750    50.25   -3009.6582     1.4030   -3008.2552   0.127
   11000    5.5000    47.25   -3009.6235     1.3193   -3008.3042   0.127
   11050    5.5250    47.62   -3009.6616     1.3295   -3008.3321   0.127
   11100    5.5500    49.42   -3009.6426     1.3797   -3008.2629   0.127
   11150    5.5750    45.24   -3009.6323     1.2631   -3008.3693   0.127
   11200    5.6000    45.90   -3009.6953     1.2815   -3008.4138   0.127
   11250    5.6250    47.80   -3009.7690     1.3346   -3008.4344   0.127
   11300    5.6500    48.21   -3009.7314     1.3460   -3008.3854   0.127
   11350    5.6750    48.55   -3009.6499     1.3555   -3008.2944   0.127
   11400    5.7000    51.25   -3009.6865     1.4309   -3008.2556   0.127
   11450    5.7250    48.16   -3009.6851     1.3445   -3008.3405   0.127
   11500    5.7500    47.72   -3009.7334     1.3324   -3008.4010   0.127
   11550    5.7750    49.10   -3009.7920     1.3709   -3008.4211   0.127
   11600    5.8000    49.47   -3009.8052     1.3813   -3008.4239   0.127
   11650    5.8250    45.33   -3009.6797     1.2655   -3008.4141   0.127
   11700    5.8500    48.13   -3009.7671     1.3437   -3008.4234   0.127
   11750    5.8750    50.50   -3009.6685     1.4100   -3008.2584   0.127
   11800    5.9000    49.32   -3009.7041     1.3770   -3008.3271   0.127
   11850    5.9250    49.57   -3009.7656     1.3841   -3008.3815   0.127
   11900    5.9500    51.90   -3009.7856     1.4491   -3008.3365   0.127
   11950    5.9750    49.07   -3009.6558     1.3702   -3008.2856   0.127
   12000    6.0000    51.98   -3009.6372     1.4512   -3008.1860   0.127
   12050    6.0250    50.84   -3009.6384     1.4194   -3008.2190   0.127
   12100    6.0500    47.91   -3009.4597     1.3375   -3008.1222   0.127
   12150    6.0750    54.06   -3009.6646     1.5093   -3008.1553   0.127
   12200    6.1000    50.86   -3009.5962     1.4200   -3008.1762   0.127
   12250    6.1250    48.19   -3009.6763     1.3455   -3008.3308   0.127
   12300    6.1500    55.38   -3009.6858     1.5463   -3008.1395   0.127
   12350    6.1750    54.77   -3009.7075     1.5291   -3008.1784   0.126
   12400    6.2000    50.77   -3009.7373     1.4175   -3008.3198   0.127
   12450    6.2250    52.21   -3009.7139     1.4578   -3008.2561   0.127
   12500    6.2500    49.77   -3009.6587     1.3895   -3008.2692   0.127
   12550    6.2750    52.17   -3009.6284     1.4565   -3008.1719   0.127
   12600    6.3000    51.01   -3009.5947     1.4243   -3008.1704   0.127
   12650    6.3250    51.39   -3009.6191     1.4347   -3008.1844   0.127
   12700    6.3500    49.11   -3009.5991     1.3712   -3008.2279   0.127
   12750    6.3750    50.06   -3009.7673     1.3977   -3008.3697   0.127
   12800    6.4000    48.61   -3009.7627     1.3572   -3008.4055   0.127
   12850    6.4250    48.01   -3009.6624     1.3403   -3008.3220   0.127
   12900    6.4500    48.18   -3009.6689     1.3453   -3008.3236   0.127
   12950    6.4750    52.01   -3009.5793     1.4522   -3008.1271   0.127
   13000    6.5000    53.99   -3009.6396     1.5073   -3008.1323   0.127
   13050    6.5250    54.59   -3009.6611     1.5241   -3008.1371   0.127
   13100    6.5500    54.33   -3009.7861     1.5169   -3008.2693   0.127
   13150    6.5750    48.91   -3009.7717     1.3654   -3008.4063   0.127
   13200    6.6000    46.10   -3009.6228     1.2872   -3008.3356   0.127
   13250    6.6250    46.28   -3009.6724     1.2921   -3008.3803   0.127
   13300    6.6500    46.33   -3009.7437     1.2935   -3008.4502   0.127
   13350    6.6750    45.28   -3009.6489     1.2643   -3008.3846   0.127
   13400    6.7000    50.17   -3009.5706     1.4007   -3008.1699   0.127
   13450    6.7250    50.43   -3009.6357     1.4081   -3008.2276   0.127
   13500    6.7500    51.45   -3009.6445     1.4365   -3008.2080   0.127
   13550    6.7750    53.70   -3009.6350     1.4993   -3008.1357   0.127
   13600    6.8000    52.14   -3009.5679     1.4557   -3008.1122   0.127
   13650    6.8250    51.85   -3009.5835     1.4477   -3008.1358   0.127
   13700    6.8500    50.82   -3009.5735     1.4189   -3008.1546   0.127
   13750    6.8750    47.66   -3009.5764     1.3308   -3008.2456   0.127
   13800    6.9000    49.05   -3009.6445     1.3695   -3008.2750   0.127
   13850    6.9250    50.65   -3009.6462     1.4141   -3008.2321   0.128
   13900    6.9500    55.85   -3009.6921     1.5594   -3008.1327   0.127
   13950    6.9750    50.58   -3009.5842     1.4121   -3008.1721   0.127
   14000    7.0000    51.17   -3009.4927     1.4287   -3008.0640   0.127
   14050    7.0250    52.67   -3009.5742     1.4706   -3008.1036   0.127
   14100    7.0500    51.01   -3009.5151     1.4242   -3008.0909   0.127
   14150    7.0750    48.95   -3009.6338     1.3666   -3008.2671   0.127
   14200    7.1000    45.69   -3009.6528     1.2758   -3008.3771   0.127
   14250    7.1250    48.71   -3009.6885     1.3600   -3008.3284   0.127
   14300    7.1500    47.16   -3009.6282     1.3167   -3008.3115   0.127
   14350    7.1750    51.48   -3009.7188     1.4374   -3008.2814   0.127
   14400    7.2000    48.37   -3009.6611     1.3505   -3008.3107   0.127
   14450    7.2250    49.50   -3009.6414     1.3819   -3008.2594   0.127
   14500    7.2500    50.65   -3009.6514     1.4141   -3008.2373   0.127
   14550    7.2750    52.67   -3009.7371     1.4706   -3008.2665   0.127
   14600    7.3000    49.30   -3009.6677     1.3765   -3008.2912   0.127
   14650    7.3250    48.48   -3009.7354     1.3536   -3008.3818   0.127
   14700    7.3500    52.41   -3009.6799     1.4633   -3008.2166   0.127
   14750    7.3750    49.24   -3009.6069     1.3748   -3008.2321   0.127
   14800    7.4000    48.41   -3009.6768     1.3517   -3008.3250   0.127
   14850    7.4250    49.72   -3009.7942     1.3882   -3008.4059   0.127
   14900    7.4500    48.47   -3009.7312     1.3534   -3008.3778   0.127
   14950    7.4750    47.12   -3009.6724     1.3156   -3008.3567   0.127
   15000    7.5000    51.33   -3009.8013     1.4331   -3008.3682   0.127
   15050    7.5250    47.66   -3009.6230     1.3306   -3008.2925   0.127
   15100    7.5500    49.62   -3009.6501     1.3854   -3008.2647   0.127
   15150    7.5750    50.61   -3009.7363     1.4130   -3008.3233   0.127
   15200    7.6000    55.11   -3009.6729     1.5386   -3008.1342   0.127
   15250    7.6250    55.50   -3009.7109     1.5496   -3008.1613   0.127
   15300    7.6500    51.26   -3009.8052     1.4311   -3008.3741   0.127
   15350    7.6750    51.39   -3009.7390     1.4348   -3008.3042   0.127
   15400    7.7000    47.43   -3009.6292     1.3243   -3008.3048   0.127
   15450    7.7250    47.38   -3009.5947     1.3227   -3008.2720   0.127
   15500    7.7500    52.41   -3009.6436     1.4632   -3008.1803   0.127
   15550    7.7750    54.68   -3009.7261     1.5265   -3008.1995   0.127
   15600    7.8000    51.85   -3009.6165     1.4476   -3008.1688   0.127
   15650    7.8250    50.39   -3009.5271     1.4070   -3008.1201   0.127
   15700    7.8500    56.36   -3009.6501     1.5736   -3008.0766   0.127
   15750    7.8750    49.37   -3009.4463     1.3784   -3008.0679   0.127
   15800    7.9000    54.33   -3009.6421     1.5169   -3008.1252   0.127
   15850    7.9250    50.40   -3009.5479     1.4072   -3008.1407   0.127
   15900    7.9500    49.80   -3009.6472     1.3904   -3008.2568   0.128
   15950    7.9750    50.54   -3009.5786     1.4110   -3008.1676   0.128
   16000    8.0000    51.12   -3009.5576     1.4272   -3008.1304   0.127
   16050    8.0250    51.06   -3009.6614     1.4255   -3008.2359   0.127
   16100    8.0500    51.54   -3009.6907     1.4391   -3008.2516   0.127
   16150    8.0750    49.99   -3009.6741     1.3956   -3008.2785   0.127
   16200    8.1000    47.55   -3009.5571     1.3277   -3008.2295   0.127
   16250    8.1250    49.39   -3009.6519     1.3789   -3008.2730   0.127
   16300    8.1500    52.09   -3009.8032     1.4543   -3008.3490   0.127
   16350    8.1750    50.24   -3009.6963     1.4028   -3008.2935   0.126
   16400    8.2000    50.82   -3009.6138     1.4190   -3008.1948   0.126
   16450    8.2250    53.23   -3009.6938     1.4863   -3008.2076   0.126
   16500    8.2500    53.47   -3009.7268     1.4928   -3008.2340   0.127
   16550    8.2750    49.30   -3009.5347     1.3764   -3008.1583   0.127
   16600    8.3000    54.62   -3009.6189     1.5250   -3008.0939   0.127
   16650    8.3250    47.93   -3009.5803     1.3383   -3008.2420   0.127
   16700    8.3500    48.80   -3009.6836     1.3626   -3008.3210   0.127
   16750    8.3750    48.92   -3009.7227     1.3658   -3008.3569   0.127
   16800    8.4000    44.30   -3009.7488     1.2367   -3008.5120   0.127
